Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
MyList,Reactome Gene Sets,6,R-HSA-6791226,Major pathway of rRNA processing in the nucleolus and cytosol,,-45,17,27,30242,184,484,49,10,1.4,705|5394|6135|6158|6173|6202|6218|6232|6234|8602|9136|9188|9277|9790|10171|10199|10200|10556|10607|10799|10813|10885|11103|22984|23404|23481|25926|27042|27340|51010|51077|51118|54512|54881|55272|55759|55781|55813|56915|57050|57647|65083|83732|84128|84916|84946|92856|114049|118460,BYSL|EXOSC10|RPL11|RPL28|RPL36A|RPS8|RPS17|RPS27|RPS28|NOP14|RRP9|DDX21|WDR46|BMS1|RCL1|MPHOSPH10|MPHOSPH6|RPP30|TBL3|RPP40|UTP14A|WDR3|KRR1|PDCD11|EXOSC2|PES1|NOL11|UTP25|UTP20|EXOSC3|FCF1|UTP11|EXOSC4|TEX10|IMP3|WDR12|RIOK2|UTP6|EXOSC5|UTP3|DHX37|NOL6|RIOK1|WDR75|UTP4|LTV1|IMP4|BUD23|EXOSC6,-42
MyList,Reactome Gene Sets,6,R-HSA-6790901,rRNA modification in the nucleus and cytosol,,-39,32,31,30242,61,484,31,6.4,1.1,1736|4839|8602|9136|9277|9790|10171|10199|10607|10813|10885|11103|22984|25926|27042|27292|27340|51077|51118|54433|55272|55505|55651|55813|57050|57647|65083|84128|84916|92856|114049,DKC1|NOP2|NOP14|RRP9|WDR46|BMS1|RCL1|MPHOSPH10|TBL3|UTP14A|WDR3|KRR1|PDCD11|NOL11|UTP25|DIMT1|UTP20|FCF1|UTP11|GAR1|IMP3|NOP10|NHP2|UTP6|UTP3|DHX37|NOL6|WDR75|UTP4|IMP4|BUD23,-36
MyList,Reactome Gene Sets,6,R-HSA-69278,"Cell Cycle, Mitotic",,-36,7.3,19,30242,560,484,65,13,1.5,896|902|1017|1022|1062|1639|1778|1781|1869|2033|3837|4171|4172|4173|4174|4609|4928|4999|5001|5424|5425|5557|5558|5682|5685|5688|5693|5695|5709|5710|5983|5984|5985|6117|6232|6241|7027|7283|7324|7514|8243|8317|8480|9837|10714|11243|11258|23354|23636|23649|27229|51143|51433|55142|64682|64785|79003|79441|79648|80152|84296|114791|115106|220134|100527963,CCND3|CCNH|CDK2|CDK7|CENPE|DCTN1|DYNC1H1|DYNC1I2|E2F1|EP300|KPNB1|MCM2|MCM3|MCM4|MCM5|MYC|NUP98|ORC2|ORC5|POLD1|POLD2|PRIM1|PRIM2|PSMA1|PSMA4|PSMA7|PSMB5|PSMB7|PSMD3|PSMD4|RFC3|RFC4|RFC5|RPA1|RPS27|RRM2|TFDP1|TUBG1|UBE2E1|XPO1|SMC1A|CDC7|RAE1|GINS1|POLD3|PMF1|DCTN3|HAUS5|NUP62|POLA2|TUBGCP4|DYNC1LI1|ANAPC5|HAUS2|ANAPC1|GINS3|MIS12|HAUS3|MCPH1|CENPT|GINS4|TUBGCP5|HAUS1|SKA1|PMF1-BGLAP,-33
MyList,GO Biological Processes,19,GO:0042274,ribosomal small subunit biogenesis,19_GO:0009987 cellular process,-34,26,27,30242,73,484,30,6.2,1.1,705|4869|6202|6218|6232|6234|6838|8602|9277|9790|10171|10607|10799|10885|11157|23212|25926|26284|27042|27340|55781|55813|57050|57647|64745|64963|83732|84916|84946|153443,BYSL|NPM1|RPS8|RPS17|RPS27|RPS28|SURF6|NOP14|WDR46|BMS1|RCL1|TBL3|RPP40|WDR3|LSM6|RRS1|NOL11|ERAL1|UTP25|UTP20|RIOK2|UTP6|UTP3|DHX37|METTL17|MRPS11|RIOK1|UTP4|LTV1|SRFBP1,-31
MyList,Reactome Gene Sets,6,R-HSA-69242,S Phase,,-30,14,21,30242,161,484,36,7.4,1.2,902|1017|1022|1869|4171|4172|4173|4174|4609|4999|5001|5424|5425|5557|5558|5682|5685|5688|5693|5695|5709|5710|5983|5984|5985|6117|7027|7324|8243|9837|10714|23649|51433|64682|64785|84296,CCNH|CDK2|CDK7|E2F1|MCM2|MCM3|MCM4|MCM5|MYC|ORC2|ORC5|POLD1|POLD2|PRIM1|PRIM2|PSMA1|PSMA4|PSMA7|PSMB5|PSMB7|PSMD3|PSMD4|RFC3|RFC4|RFC5|RPA1|TFDP1|UBE2E1|SMC1A|GINS1|POLD3|POLA2|ANAPC5|ANAPC1|GINS3|GINS4,-27
MyList,KEGG Pathway,24,ko03008,Ribosome biogenesis in eukaryotes,,-29,18,22,30242,104,484,30,6.2,1.1,1736|3692|4931|7514|9790|10171|10199|10556|10607|10799|10813|10885|23195|29889|51068|51077|51367|54433|54552|55272|55505|55651|55781|55813|65083|83732|84128|84916|92856|138716,DKC1|EIF6|NVL|XPO1|BMS1|RCL1|MPHOSPH10|RPP30|TBL3|RPP40|UTP14A|WDR3|MDN1|GNL2|NMD3|FCF1|POP5|GAR1|GNL3L|IMP3|NOP10|NHP2|RIOK2|UTP6|NOL6|RIOK1|WDR75|UTP4|IMP4|RPP25L,-26
MyList,GO Biological Processes,19,GO:0016071,mRNA metabolic process,19_GO:0008152 metabolic process,-28,5.6,16,30242,706,484,63,13,1.5,1054|1207|1432|1736|1869|2926|4848|4849|4869|4928|5356|5394|5725|6632|6634|6637|7919|8899|9092|9128|9129|9343|9904|10250|10285|10594|10768|10772|10907|10992|11157|22794|22984|23019|23028|23091|23404|23450|24148|25962|26121|27316|51010|51441|51690|51755|54439|54512|54931|55015|55119|56339|56915|57187|57721|57819|79171|79872|83443|91746|118460|140890|494115,CEBPG|CLNS1A|MAPK14|DKC1|E2F1|GRSF1|CNOT2|CNOT3|NPM1|NUP98|PLRG1|EXOSC10|PTBP1|SNRPD1|SNRPD3|SNRPG|DDX39B|PRPF4B|SART1|PRPF4|PRPF3|EFTUD2|RBM19|SRRM1|SMNDC1|PRPF8|AHCYL1|SRSF10|TXNL4A|SF3B2|LSM6|CASC3|PDCD11|CNOT1|KDM1A|ZC3H13|EXOSC2|SF3B3|PRPF6|VIRMA|PRPF31|RBMX|EXOSC3|YTHDF2|LSM7|CDK12|RBM27|EXOSC4|TRMT10C|PRPF39|PRPF38B|METTL3|EXOSC5|THOC2|METTL14|LSM2|RBM42|CBLL1|SF3B5|YTHDC1|EXOSC6|SREK1|RBMXL1,-25
MyList,GO Biological Processes,19,GO:0030490,maturation of SSU-rRNA,19_GO:0008152 metabolic process,-28,29,25,30242,50,484,23,4.8,0.97,705|6202|6234|8602|9277|9790|10171|10607|10799|10885|11157|23212|25926|27042|27340|55781|55813|57050|57647|64963|83732|84916|153443,BYSL|RPS8|RPS28|NOP14|WDR46|BMS1|RCL1|TBL3|RPP40|WDR3|LSM6|RRS1|NOL11|UTP25|UTP20|RIOK2|UTP6|UTP3|DHX37|MRPS11|RIOK1|UTP4|SRFBP1,-25
MyList,KEGG Pathway,24,hsa03008,Ribosome biogenesis in eukaryotes,,-27,16,21,30242,117,484,30,6.2,1.1,1736|3692|4931|7514|9790|10171|10199|10556|10607|10799|10813|10885|23195|29889|51068|51077|51367|54433|54552|55272|55505|55651|55781|55813|65083|83732|84128|84916|92856|138716,DKC1|EIF6|NVL|XPO1|BMS1|RCL1|MPHOSPH10|RPP30|TBL3|RPP40|UTP14A|WDR3|MDN1|GNL2|NMD3|FCF1|POP5|GAR1|GNL3L|IMP3|NOP10|NHP2|RIOK2|UTP6|NOL6|RIOK1|WDR75|UTP4|IMP4|RPP25L,-24
MyList,Reactome Gene Sets,6,R-HSA-69239,Synthesis of DNA,,-27,16,21,30242,119,484,30,6.2,1.1,1017|4171|4172|4173|4174|4999|5001|5424|5425|5557|5558|5682|5685|5688|5693|5695|5709|5710|5983|5984|5985|6117|7324|9837|10714|23649|51433|64682|64785|84296,CDK2|MCM2|MCM3|MCM4|MCM5|ORC2|ORC5|POLD1|POLD2|PRIM1|PRIM2|PSMA1|PSMA4|PSMA7|PSMB5|PSMB7|PSMD3|PSMD4|RFC3|RFC4|RFC5|RPA1|UBE2E1|GINS1|POLD3|POLA2|ANAPC5|ANAPC1|GINS3|GINS4,-24
MyList,Reactome Gene Sets,6,R-HSA-69620,Cell Cycle Checkpoints,,-26,8.7,17,30242,293,484,41,8.5,1.3,1017|1062|1778|1781|4171|4172|4173|4174|4193|4194|4928|4999|5001|5682|5685|5688|5693|5695|5709|5710|5883|5932|5983|5984|5985|6117|6232|7324|7514|8317|11200|11243|51143|51433|63967|64682|79003|80152|144715|220134|100527963,CDK2|CENPE|DYNC1H1|DYNC1I2|MCM2|MCM3|MCM4|MCM5|MDM2|MDM4|NUP98|ORC2|ORC5|PSMA1|PSMA4|PSMA7|PSMB5|PSMB7|PSMD3|PSMD4|RAD9A|RBBP8|RFC3|RFC4|RFC5|RPA1|RPS27|UBE2E1|XPO1|CDC7|CHEK2|PMF1|DYNC1LI1|ANAPC5|CLSPN|ANAPC1|MIS12|CENPT|RAD9B|SKA1|PMF1-BGLAP,-23
MyList,Reactome Gene Sets,6,R-HSA-5368286,Mitochondrial translation initiation,,-25,19,21,30242,87,484,26,5.4,1,3396|9553|10240|11222|26284|26589|28973|29074|29093|51021|51253|51373|51649|51650|54460|55168|56945|60488|63875|64960|64963|64965|64981|65003|84545|124995,MRPL58|MRPL33|MRPS31|MRPL3|ERAL1|MRPL46|MRPS18B|MRPL18|MRPL22|MRPS16|MRPL37|MRPS17|MRPS23|MRPS33|MRPS21|MRPS18A|MRPS22|MRPS35|MRPL17|MRPS15|MRPS11|MRPS9|MRPL34|MRPL11|MRPL43|MRPL10,-23
MyList,Reactome Gene Sets,6,R-HSA-5419276,Mitochondrial translation termination,,-25,19,21,30242,87,484,26,5.4,1,3396|9553|10240|11222|26284|26589|28973|29074|29093|51021|51253|51373|51649|51650|54460|55168|56945|60488|63875|64960|64963|64965|64981|65003|84545|124995,MRPL58|MRPL33|MRPS31|MRPL3|ERAL1|MRPL46|MRPS18B|MRPL18|MRPL22|MRPS16|MRPL37|MRPS17|MRPS23|MRPS33|MRPS21|MRPS18A|MRPS22|MRPS35|MRPL17|MRPS15|MRPS11|MRPS9|MRPL34|MRPL11|MRPL43|MRPL10,-23
MyList,Reactome Gene Sets,6,R-HSA-5389840,Mitochondrial translation elongation,,-25,19,21,30242,87,484,26,5.4,1,3396|9553|10240|11222|26284|26589|28973|29074|29093|51021|51253|51373|51649|51650|54460|55168|56945|60488|63875|64960|64963|64965|64981|65003|84545|124995,MRPL58|MRPL33|MRPS31|MRPL3|ERAL1|MRPL46|MRPS18B|MRPL18|MRPL22|MRPS16|MRPL37|MRPS17|MRPS23|MRPS33|MRPS21|MRPS18A|MRPS22|MRPS35|MRPL17|MRPS15|MRPS11|MRPS9|MRPL34|MRPL11|MRPL43|MRPL10,-23
MyList,GO Biological Processes,19,GO:0006261,DNA-dependent DNA replication,19_GO:0008152 metabolic process,-25,13,19,30242,152,484,31,6.4,1.1,1663|3159|4171|4172|4173|4174|4999|5001|5424|5425|5557|5558|5888|5983|5984|5985|6117|8317|8914|9188|9837|10714|11143|23649|25939|56652|64318|64785|84296|90381|353497,DDX11|HMGA1|MCM2|MCM3|MCM4|MCM5|ORC2|ORC5|POLD1|POLD2|PRIM1|PRIM2|RAD51|RFC3|RFC4|RFC5|RPA1|CDC7|TIMELESS|DDX21|GINS1|POLD3|KAT7|POLA2|SAMHD1|TWNK|NOC3L|GINS3|GINS4|TICRR|POLN,-22
MyList,Reactome Gene Sets,6,R-HSA-5368287,Mitochondrial translation,,-25,17,20,30242,93,484,26,5.4,1,3396|9553|10240|11222|26284|26589|28973|29074|29093|51021|51253|51373|51649|51650|54460|55168|56945|60488|63875|64960|64963|64965|64981|65003|84545|124995,MRPL58|MRPL33|MRPS31|MRPL3|ERAL1|MRPL46|MRPS18B|MRPL18|MRPL22|MRPS16|MRPL37|MRPS17|MRPS23|MRPS33|MRPS21|MRPS18A|MRPS22|MRPS35|MRPL17|MRPS15|MRPS11|MRPS9|MRPL34|MRPL11|MRPL43|MRPL10,-22
MyList,Reactome Gene Sets,6,R-HSA-69306,DNA Replication,,-24,11,17,30242,190,484,33,6.8,1.1,1017|1869|3837|4171|4172|4173|4174|4999|5001|5424|5425|5557|5558|5682|5685|5688|5693|5695|5709|5710|5983|5984|5985|6117|7324|8317|9837|10714|23649|51433|64682|64785|84296,CDK2|E2F1|KPNB1|MCM2|MCM3|MCM4|MCM5|ORC2|ORC5|POLD1|POLD2|PRIM1|PRIM2|PSMA1|PSMA4|PSMA7|PSMB5|PSMB7|PSMD3|PSMD4|RFC3|RFC4|RFC5|RPA1|UBE2E1|CDC7|GINS1|POLD3|POLA2|ANAPC5|ANAPC1|GINS3|GINS4,-21
